============================= test session starts =============================
platform win32 -- Python 3.11.9, pytest-9.1.1, pluggy-1.6.0 -- C:\Users\91995\Documents\python tool validation\testmon\.venv\Scripts\python.exe
cachedir: .pytest_cache
testmon: new DB, environment: default
We'd like to hear from testmon users! Please go to https://testmon.org/survey to leave feedback.
rootdir: C:\Users\91995\Documents\python tool validation\testmon
tests/generated/test_segment_000.py::test_file_processing_segment_000_03 PASSED [ 11%]
tests/generated/test_segment_000.py::test_file_processing_segment_000_04 PASSED [ 11%]
tests/generated/test_segment_000.py::test_file_processing_segment_000_05 PASSED [ 11%]
tests/generated/test_segment_000.py::test_file_processing_segment_000_06 PASSED [ 11%]
tests/generated/test_segment_000.py::test_file_processing_segment_000_07 PASSED [ 11%]
tests/generated/test_segment_000.py::test_validation_segment_000_00 PASSED [ 12%]
tests/generated/test_segment_000.py::test_validation_segment_000_01 PASSED [ 12%]
tests/generated/test_segment_000.py::test_validation_segment_000_02 PASSED [ 12%]
tests/generated/test_segment_000.py::test_validation_segment_000_03 PASSED [ 12%]
tests/generated/test_segment_000.py::test_validation_segment_000_04 PASSED [ 12%]
tests/generated/test_segment_000.py::test_validation_segment_000_05 PASSED [ 12%]
tests/generated/test_segment_000.py::test_validation_segment_000_06 PASSED [ 13%]
tests/generated/test_segment_000.py::test_validation_segment_000_07 PASSED [ 13%]
tests/generated/test_segment_000.py::test_utils_segment_000_00 PASSED    [ 13%]
tests/generated/test_segment_000.py::test_utils_segment_000_01 PASSED    [ 13%]
tests/generated/test_segment_000.py::test_utils_segment_000_02 PASSED    [ 13%]
tests/generated/test_segment_000.py::test_utils_segment_000_03 PASSED    [ 14%]
tests/generated/test_segment_000.py::test_utils_segment_000_04 PASSED    [ 14%]
tests/generated/test_segment_000.py::test_utils_segment_000_05 PASSED    [ 14%]
tests/generated/test_segment_000.py::test_utils_segment_000_06 PASSED    [ 14%]
tests/generated/test_segment_000.py::test_utils_segment_000_07 PASSED    [ 14%]
tests/generated/test_segment_001.py::test_auth_segment_001_00 PASSED     [ 15%]
tests/generated/test_segment_001.py::test_auth_segment_001_01 PASSED     [ 15%]
tests/generated/test_segment_001.py::test_auth_segment_001_02 PASSED     [ 15%]
tests/generated/test_segment_001.py::test_auth_segment_001_03 PASSED     [ 15%]
tests/generated/test_segment_001.py::test_auth_segment_001_04 PASSED     [ 15%]
tests/generated/test_segment_001.py::test_auth_segment_001_05 PASSED     [ 15%]
tests/generated/test_segment_001.py::test_auth_segment_001_06 PASSED     [ 16%]
tests/generated/test_segment_001.py::test_auth_segment_001_07 PASSED     [ 16%]
tests/generated/test_segment_001.py::test_users_segment_001_00 PASSED    [ 16%]
tests/generated/test_segment_001.py::test_users_segment_001_01 PASSED    [ 16%]
tests/generated/test_segment_001.py::test_users_segment_001_02 PASSED    [ 16%]
tests/generated/test_segment_001.py::test_users_segment_001_03 PASSED    [ 17%]
tests/generated/test_segment_001.py::test_users_segment_001_04 PASSED    [ 17%]
tests/generated/test_segment_001.py::test_users_segment_001_05 PASSED    [ 17%]
tests/generated/test_segment_001.py::test_users_segment_001_06 PASSED    [ 17%]
tests/generated/test_segment_001.py::test_users_segment_001_07 PASSED    [ 17%]
tests/generated/test_segment_001.py::test_orders_segment_001_00 PASSED   [ 17%]
tests/generated/test_segment_001.py::test_orders_segment_001_01 PASSED   [ 18%]
tests/generated/test_segment_001.py::test_orders_segment_001_02 PASSED   [ 18%]
tests/generated/test_segment_001.py::test_orders_segment_001_03 PASSED   [ 18%]
tests/generated/test_segment_001.py::test_orders_segment_001_04 PASSED   [ 18%]
tests/generated/test_segment_001.py::test_orders_segment_001_05 PASSED   [ 18%]
tests/generated/test_segment_001.py::test_orders_segment_001_06 PASSED   [ 19%]
tests/generated/test_segment_001.py::test_orders_segment_001_07 PASSED   [ 19%]
tests/generated/test_segment_001.py::test_payments_segment_001_00 PASSED [ 19%]
tests/generated/test_segment_001.py::test_payments_segment_001_01 PASSED [ 19%]
tests/generated/test_segment_001.py::test_payments_segment_001_02 PASSED [ 19%]
tests/generated/test_segment_001.py::test_payments_segment_001_03 PASSED [ 20%]
tests/generated/test_segment_001.py::test_payments_segment_001_04 PASSED [ 20%]
tests/generated/test_segment_001.py::test_payments_segment_001_05 PASSED [ 20%]
tests/generated/test_segment_001.py::test_payments_segment_001_06 PASSED [ 20%]
tests/generated/test_segment_001.py::test_payments_segment_001_07 PASSED [ 20%]
tests/generated/test_segment_001.py::test_inventory_segment_001_00 PASSED [ 20%]
tests/generated/test_segment_001.py::test_inventory_segment_001_01 PASSED [ 21%]
tests/generated/test_segment_001.py::test_inventory_segment_001_02 PASSED [ 21%]
tests/generated/test_segment_001.py::test_inventory_segment_001_03 PASSED [ 21%]
tests/generated/test_segment_001.py::test_inventory_segment_001_04 PASSED [ 21%]
tests/generated/test_segment_001.py::test_inventory_segment_001_05 PASSED [ 21%]
tests/generated/test_segment_001.py::test_inventory_segment_001_06 PASSED [ 22%]
tests/generated/test_segment_001.py::test_inventory_segment_001_07 PASSED [ 22%]
tests/generated/test_segment_001.py::test_reporting_segment_001_00 PASSED [ 22%]
tests/generated/test_segment_001.py::test_reporting_segment_001_01 PASSED [ 22%]
tests/generated/test_segment_001.py::test_reporting_segment_001_02 PASSED [ 22%]
tests/generated/test_segment_001.py::test_reporting_segment_001_03 PASSED [ 22%]
tests/generated/test_segment_001.py::test_reporting_segment_001_04 PASSED [ 23%]
tests/generated/test_segment_001.py::test_reporting_segment_001_05 PASSED [ 23%]
tests/generated/test_segment_001.py::test_reporting_segment_001_06 PASSED [ 23%]
tests/generated/test_segment_001.py::test_reporting_segment_001_07 PASSED [ 23%]
tests/generated/test_segment_001.py::test_notifications_segment_001_00 PASSED [ 23%]
tests/generated/test_segment_001.py::test_notifications_segment_001_01 PASSED [ 24%]
tests/generated/test_segment_001.py::test_notifications_segment_001_02 PASSED [ 24%]
tests/generated/test_segment_001.py::test_notifications_segment_001_03 PASSED [ 24%]
tests/generated/test_segment_001.py::test_notifications_segment_001_04 PASSED [ 24%]
tests/generated/test_segment_001.py::test_notifications_segment_001_05 PASSED [ 24%]
tests/generated/test_segment_001.py::test_notifications_segment_001_06 PASSED [ 25%]
tests/generated/test_segment_001.py::test_notifications_segment_001_07 PASSED [ 25%]
tests/generated/test_segment_001.py::test_file_processing_segment_001_00 PASSED [ 25%]
tests/generated/test_segment_001.py::test_file_processing_segment_001_01 PASSED [ 25%]
tests/generated/test_segment_001.py::test_file_processing_segment_001_02 PASSED [ 25%]
tests/generated/test_segment_001.py::test_file_processing_segment_001_03 PASSED [ 25%]
tests/generated/test_segment_001.py::test_file_processing_segment_001_04 PASSED [ 26%]
tests/generated/test_segment_001.py::test_file_processing_segment_001_05 PASSED [ 26%]
tests/generated/test_segment_001.py::test_file_processing_segment_001_06 PASSED [ 26%]
tests/generated/test_segment_001.py::test_file_processing_segment_001_07 PASSED [ 26%]
tests/generated/test_segment_001.py::test_validation_segment_001_00 PASSED [ 26%]
tests/generated/test_segment_001.py::test_validation_segment_001_01 PASSED [ 27%]
tests/generated/test_segment_001.py::test_validation_segment_001_02 PASSED [ 27%]
tests/generated/test_segment_001.py::test_validation_segment_001_03 PASSED [ 27%]
tests/generated/test_segment_001.py::test_validation_segment_001_04 PASSED [ 27%]
tests/generated/test_segment_001.py::test_validation_segment_001_05 PASSED [ 27%]
tests/generated/test_segment_001.py::test_validation_segment_001_06 PASSED [ 27%]
tests/generated/test_segment_001.py::test_validation_segment_001_07 PASSED [ 28%]
tests/generated/test_segment_001.py::test_utils_segment_001_00 PASSED    [ 28%]
tests/generated/test_segment_001.py::test_utils_segment_001_01 PASSED    [ 28%]
tests/generated/test_segment_001.py::test_utils_segment_001_02 PASSED    [ 28%]
tests/generated/test_segment_001.py::test_utils_segment_001_03 PASSED    [ 28%]
tests/generated/test_segment_001.py::test_utils_segment_001_04 PASSED    [ 29%]
tests/generated/test_segment_001.py::test_utils_segment_001_05 PASSED    [ 29%]
tests/generated/test_segment_001.py::test_utils_segment_001_06 PASSED    [ 29%]
tests/generated/test_segment_001.py::test_utils_segment_001_07 PASSED    [ 29%]
tests/generated/test_segment_002.py::test_auth_segment_002_00 PASSED     [ 29%]
tests/generated/test_segment_002.py::test_auth_segment_002_01 PASSED     [ 30%]
tests/generated/test_segment_002.py::test_auth_segment_002_02 PASSED     [ 30%]
tests/generated/test_segment_002.py::test_auth_segment_002_03 PASSED     [ 30%]
tests/generated/test_segment_002.py::test_auth_segment_002_04 PASSED     [ 30%]
tests/generated/test_segment_002.py::test_auth_segment_002_05 PASSED     [ 30%]
tests/generated/test_segment_002.py::test_auth_segment_002_06 PASSED     [ 30%]
tests/generated/test_segment_002.py::test_auth_segment_002_07 PASSED     [ 31%]
tests/generated/test_segment_002.py::test_users_segment_002_00 PASSED    [ 31%]
tests/generated/test_segment_002.py::test_users_segment_002_01 PASSED    [ 31%]
tests/generated/test_segment_002.py::test_users_segment_002_02 PASSED    [ 31%]
tests/generated/test_segment_002.py::test_users_segment_002_03 PASSED    [ 31%]
tests/generated/test_segment_002.py::test_users_segment_002_04 PASSED    [ 32%]
tests/generated/test_segment_002.py::test_users_segment_002_05 PASSED    [ 32%]
tests/generated/test_segment_002.py::test_users_segment_002_06 PASSED    [ 32%]
tests/generated/test_segment_002.py::test_users_segment_002_07 PASSED    [ 32%]
tests/generated/test_segment_002.py::test_orders_segment_002_00 PASSED   [ 32%]
tests/generated/test_segment_002.py::test_orders_segment_002_01 PASSED   [ 32%]
tests/generated/test_segment_002.py::test_orders_segment_002_02 PASSED   [ 33%]
tests/generated/test_segment_002.py::test_orders_segment_002_03 PASSED   [ 33%]
tests/generated/test_segment_002.py::test_orders_segment_002_04 PASSED   [ 33%]
tests/generated/test_segment_002.py::test_orders_segment_002_05 PASSED   [ 33%]
tests/generated/test_segment_002.py::test_orders_segment_002_06 PASSED   [ 33%]
tests/generated/test_segment_002.py::test_orders_segment_002_07 PASSED   [ 34%]
tests/generated/test_segment_002.py::test_payments_segment_002_00 PASSED [ 34%]
tests/generated/test_segment_002.py::test_payments_segment_002_01 PASSED [ 34%]
tests/generated/test_segment_002.py::test_payments_segment_002_02 PASSED [ 34%]
tests/generated/test_segment_002.py::test_payments_segment_002_03 PASSED [ 34%]
tests/generated/test_segment_002.py::test_payments_segment_002_04 PASSED [ 35%]
tests/generated/test_segment_002.py::test_payments_segment_002_05 PASSED [ 35%]
tests/generated/test_segment_002.py::test_payments_segment_002_06 PASSED [ 35%]
tests/generated/test_segment_002.py::test_payments_segment_002_07 PASSED [ 35%]
tests/generated/test_segment_002.py::test_inventory_segment_002_00 PASSED [ 35%]
tests/generated/test_segment_002.py::test_inventory_segment_002_01 PASSED [ 35%]
tests/generated/test_segment_002.py::test_inventory_segment_002_02 PASSED [ 36%]
tests/generated/test_segment_002.py::test_inventory_segment_002_03 PASSED [ 36%]
tests/generated/test_segment_002.py::test_inventory_segment_002_04 PASSED [ 36%]
tests/generated/test_segment_002.py::test_inventory_segment_002_05 PASSED [ 36%]
tests/generated/test_segment_002.py::test_inventory_segment_002_06 PASSED [ 36%]
tests/generated/test_segment_002.py::test_inventory_segment_002_07 PASSED [ 37%]
tests/generated/test_segment_002.py::test_reporting_segment_002_00 PASSED [ 37%]
tests/generated/test_segment_002.py::test_reporting_segment_002_01 PASSED [ 37%]
tests/generated/test_segment_002.py::test_reporting_segment_002_02 PASSED [ 37%]
tests/generated/test_segment_002.py::test_reporting_segment_002_03 PASSED [ 37%]
tests/generated/test_segment_002.py::test_reporting_segment_002_04 PASSED [ 37%]
tests/generated/test_segment_002.py::test_reporting_segment_002_05 PASSED [ 38%]
tests/generated/test_segment_002.py::test_reporting_segment_002_06 PASSED [ 38%]
tests/generated/test_segment_002.py::test_reporting_segment_002_07 PASSED [ 38%]
tests/generated/test_segment_002.py::test_notifications_segment_002_00 PASSED [ 38%]
tests/generated/test_segment_002.py::test_notifications_segment_002_01 PASSED [ 38%]
tests/generated/test_segment_002.py::test_notifications_segment_002_02 PASSED [ 39%]
tests/generated/test_segment_002.py::test_notifications_segment_002_03 PASSED [ 39%]
tests/generated/test_segment_002.py::test_notifications_segment_002_04 PASSED [ 39%]
tests/generated/test_segment_002.py::test_notifications_segment_002_05 PASSED [ 39%]
tests/generated/test_segment_002.py::test_notifications_segment_002_06 PASSED [ 39%]
tests/generated/test_segment_002.py::test_notifications_segment_002_07 PASSED [ 40%]
tests/generated/test_segment_002.py::test_file_processing_segment_002_00 PASSED [ 40%]
tests/generated/test_segment_002.py::test_file_processing_segment_002_01 PASSED [ 40%]
tests/generated/test_segment_002.py::test_file_processing_segment_002_02 PASSED [ 40%]
tests/generated/test_segment_002.py::test_file_processing_segment_002_03 PASSED [ 40%]
tests/generated/test_segment_002.py::test_file_processing_segment_002_04 PASSED [ 40%]
tests/generated/test_segment_002.py::test_file_processing_segment_002_05 PASSED [ 41%]
tests/generated/test_segment_002.py::test_file_processing_segment_002_06 PASSED [ 41%]
tests/generated/test_segment_002.py::test_file_processing_segment_002_07 PASSED [ 41%]
tests/generated/test_segment_002.py::test_validation_segment_002_00 PASSED [ 41%]
tests/generated/test_segment_002.py::test_validation_segment_002_01 PASSED [ 41%]
tests/generated/test_segment_002.py::test_validation_segment_002_02 PASSED [ 42%]
tests/generated/test_segment_002.py::test_validation_segment_002_03 PASSED [ 42%]
tests/generated/test_segment_002.py::test_validation_segment_002_04 PASSED [ 42%]
tests/generated/test_segment_002.py::test_validation_segment_002_05 PASSED [ 42%]
tests/generated/test_segment_002.py::test_validation_segment_002_06 PASSED [ 42%]
tests/generated/test_segment_002.py::test_validation_segment_002_07 PASSED [ 42%]
tests/generated/test_segment_002.py::test_utils_segment_002_00 PASSED    [ 43%]
tests/generated/test_segment_002.py::test_utils_segment_002_01 PASSED    [ 43%]
tests/generated/test_segment_002.py::test_utils_segment_002_02 PASSED    [ 43%]
tests/generated/test_segment_002.py::test_utils_segment_002_03 PASSED    [ 43%]
tests/generated/test_segment_002.py::test_utils_segment_002_04 PASSED    [ 43%]
tests/generated/test_segment_002.py::test_utils_segment_002_05 PASSED    [ 44%]
tests/generated/test_segment_002.py::test_utils_segment_002_06 PASSED    [ 44%]
tests/generated/test_segment_002.py::test_utils_segment_002_07 PASSED    [ 44%]
tests/generated/test_segment_003.py::test_auth_segment_003_00 PASSED     [ 44%]
tests/generated/test_segment_003.py::test_auth_segment_003_01 PASSED     [ 44%]
tests/generated/test_segment_003.py::test_auth_segment_003_02 PASSED     [ 45%]
tests/generated/test_segment_003.py::test_auth_segment_003_03 PASSED     [ 45%]
tests/generated/test_segment_003.py::test_auth_segment_003_04 PASSED     [ 45%]
tests/generated/test_segment_003.py::test_auth_segment_003_05 PASSED     [ 45%]
tests/generated/test_segment_003.py::test_auth_segment_003_06 PASSED     [ 45%]
tests/generated/test_segment_003.py::test_auth_segment_003_07 PASSED     [ 45%]
tests/generated/test_segment_003.py::test_users_segment_003_00 PASSED    [ 46%]
tests/generated/test_segment_003.py::test_users_segment_003_01 PASSED    [ 46%]
tests/generated/test_segment_003.py::test_users_segment_003_02 PASSED    [ 46%]
tests/generated/test_segment_003.py::test_users_segment_003_03 PASSED    [ 46%]
tests/generated/test_segment_003.py::test_users_segment_003_04 PASSED    [ 46%]
tests/generated/test_segment_003.py::test_users_segment_003_05 PASSED    [ 47%]
tests/generated/test_segment_003.py::test_users_segment_003_06 PASSED    [ 47%]
tests/generated/test_segment_003.py::test_users_segment_003_07 PASSED    [ 47%]
tests/generated/test_segment_003.py::test_orders_segment_003_00 PASSED   [ 47%]
tests/generated/test_segment_003.py::test_orders_segment_003_01 PASSED   [ 47%]
tests/generated/test_segment_003.py::test_orders_segment_003_02 PASSED   [ 47%]
tests/generated/test_segment_003.py::test_orders_segment_003_03 PASSED   [ 48%]
tests/generated/test_segment_003.py::test_orders_segment_003_04 PASSED   [ 48%]
tests/generated/test_segment_003.py::test_orders_segment_003_05 PASSED   [ 48%]
tests/generated/test_segment_003.py::test_orders_segment_003_06 PASSED   [ 48%]
tests/generated/test_segment_003.py::test_orders_segment_003_07 PASSED   [ 48%]
tests/generated/test_segment_003.py::test_payments_segment_003_00 PASSED [ 49%]
tests/generated/test_segment_003.py::test_payments_segment_003_01 PASSED [ 49%]
tests/generated/test_segment_003.py::test_payments_segment_003_02 PASSED [ 49%]
tests/generated/test_segment_003.py::test_payments_segment_003_03 PASSED [ 49%]
tests/generated/test_segment_003.py::test_payments_segment_003_04 PASSED [ 49%]
tests/generated/test_segment_003.py::test_payments_segment_003_05 PASSED [ 50%]
tests/generated/test_segment_003.py::test_payments_segment_003_06 PASSED [ 50%]
tests/generated/test_segment_003.py::test_payments_segment_003_07 PASSED [ 50%]
tests/generated/test_segment_003.py::test_inventory_segment_003_00 PASSED [ 50%]
tests/generated/test_segment_003.py::test_inventory_segment_003_01 PASSED [ 50%]
tests/generated/test_segment_003.py::test_inventory_segment_003_02 PASSED [ 50%]
tests/generated/test_segment_003.py::test_inventory_segment_003_03 PASSED [ 51%]
tests/generated/test_segment_003.py::test_inventory_segment_003_04 PASSED [ 51%]
tests/generated/test_segment_003.py::test_inventory_segment_003_05 PASSED [ 51%]
tests/generated/test_segment_003.py::test_inventory_segment_003_06 PASSED [ 51%]
tests/generated/test_segment_003.py::test_inventory_segment_003_07 PASSED [ 51%]
tests/generated/test_segment_003.py::test_reporting_segment_003_00 PASSED [ 52%]
tests/generated/test_segment_003.py::test_reporting_segment_003_01 PASSED [ 52%]
tests/generated/test_segment_003.py::test_reporting_segment_003_02 PASSED [ 52%]
tests/generated/test_segment_003.py::test_reporting_segment_003_03 PASSED [ 52%]
tests/generated/test_segment_003.py::test_reporting_segment_003_04 PASSED [ 52%]
tests/generated/test_segment_003.py::test_reporting_segment_003_05 PASSED [ 52%]
tests/generated/test_segment_003.py::test_reporting_segment_003_06 PASSED [ 53%]
tests/generated/test_segment_003.py::test_reporting_segment_003_07 PASSED [ 53%]
tests/generated/test_segment_003.py::test_notifications_segment_003_00 PASSED [ 53%]
tests/generated/test_segment_003.py::test_notifications_segment_003_01 PASSED [ 53%]
tests/generated/test_segment_003.py::test_notifications_segment_003_02 PASSED [ 53%]
tests/generated/test_segment_003.py::test_notifications_segment_003_03 PASSED [ 54%]
tests/generated/test_segment_003.py::test_notifications_segment_003_04 PASSED [ 54%]
tests/generated/test_segment_003.py::test_notifications_segment_003_05 PASSED [ 54%]
tests/generated/test_segment_003.py::test_notifications_segment_003_06 PASSED [ 54%]
tests/generated/test_segment_003.py::test_notifications_segment_003_07 PASSED [ 54%]
tests/generated/test_segment_003.py::test_file_processing_segment_003_00 PASSED [ 55%]
tests/generated/test_segment_003.py::test_file_processing_segment_003_01 PASSED [ 55%]
tests/generated/test_segment_003.py::test_file_processing_segment_003_02 PASSED [ 55%]
tests/generated/test_segment_003.py::test_file_processing_segment_003_03 PASSED [ 55%]
tests/generated/test_segment_003.py::test_file_processing_segment_003_04 PASSED [ 55%]
tests/generated/test_segment_003.py::test_file_processing_segment_003_05 PASSED [ 55%]
tests/generated/test_segment_003.py::test_file_processing_segment_003_06 PASSED [ 56%]
tests/generated/test_segment_003.py::test_file_processing_segment_003_07 PASSED [ 56%]
tests/generated/test_segment_003.py::test_validation_segment_003_00 PASSED [ 56%]
tests/generated/test_segment_003.py::test_validation_segment_003_01 PASSED [ 56%]
tests/generated/test_segment_003.py::test_validation_segment_003_02 PASSED [ 56%]
tests/generated/test_segment_003.py::test_validation_segment_003_03 PASSED [ 57%]
tests/generated/test_segment_003.py::test_validation_segment_003_04 PASSED [ 57%]
tests/generated/test_segment_003.py::test_validation_segment_003_05 PASSED [ 57%]
tests/generated/test_segment_003.py::test_validation_segment_003_06 PASSED [ 57%]
tests/generated/test_segment_003.py::test_validation_segment_003_07 PASSED [ 57%]
tests/generated/test_segment_003.py::test_utils_segment_003_00 PASSED    [ 57%]
tests/generated/test_segment_003.py::test_utils_segment_003_01 PASSED    [ 58%]
tests/generated/test_segment_003.py::test_utils_segment_003_02 PASSED    [ 58%]
tests/generated/test_segment_003.py::test_utils_segment_003_03 PASSED    [ 58%]
tests/generated/test_segment_003.py::test_utils_segment_003_04 PASSED    [ 58%]
tests/generated/test_segment_003.py::test_utils_segment_003_05 PASSED    [ 58%]
tests/generated/test_segment_003.py::test_utils_segment_003_06 PASSED    [ 59%]
tests/generated/test_segment_003.py::test_utils_segment_003_07 PASSED    [ 59%]
tests/generated/test_segment_004.py::test_auth_segment_004_00 PASSED     [ 59%]
tests/generated/test_segment_004.py::test_auth_segment_004_01 PASSED     [ 59%]
tests/generated/test_segment_004.py::test_auth_segment_004_02 PASSED     [ 59%]
tests/generated/test_segment_004.py::test_auth_segment_004_03 PASSED     [ 60%]
tests/generated/test_segment_004.py::test_auth_segment_004_04 PASSED     [ 60%]
tests/generated/test_segment_004.py::test_auth_segment_004_05 PASSED     [ 60%]
tests/generated/test_segment_004.py::test_auth_segment_004_06 PASSED     [ 60%]
tests/generated/test_segment_004.py::test_auth_segment_004_07 PASSED     [ 60%]
tests/generated/test_segment_004.py::test_users_segment_004_00 PASSED    [ 60%]
tests/generated/test_segment_004.py::test_users_segment_004_01 PASSED    [ 61%]
tests/generated/test_segment_004.py::test_users_segment_004_02 PASSED    [ 61%]
tests/generated/test_segment_004.py::test_users_segment_004_03 PASSED    [ 61%]
tests/generated/test_segment_004.py::test_users_segment_004_04 PASSED    [ 61%]
tests/generated/test_segment_004.py::test_users_segment_004_05 PASSED    [ 61%]
tests/generated/test_segment_004.py::test_users_segment_004_06 PASSED    [ 62%]
tests/generated/test_segment_004.py::test_users_segment_004_07 PASSED    [ 62%]
tests/generated/test_segment_004.py::test_orders_segment_004_00 PASSED   [ 62%]
tests/generated/test_segment_004.py::test_orders_segment_004_01 PASSED   [ 62%]
tests/generated/test_segment_004.py::test_orders_segment_004_02 PASSED   [ 62%]
tests/generated/test_segment_004.py::test_orders_segment_004_03 PASSED   [ 62%]
tests/generated/test_segment_004.py::test_orders_segment_004_04 PASSED   [ 63%]
tests/generated/test_segment_004.py::test_orders_segment_004_05 PASSED   [ 63%]
tests/generated/test_segment_004.py::test_orders_segment_004_06 PASSED   [ 63%]
tests/generated/test_segment_004.py::test_orders_segment_004_07 PASSED   [ 63%]
tests/generated/test_segment_004.py::test_payments_segment_004_00 PASSED [ 63%]
tests/generated/test_segment_004.py::test_payments_segment_004_01 PASSED [ 64%]
tests/generated/test_segment_004.py::test_payments_segment_004_02 PASSED [ 64%]
tests/generated/test_segment_004.py::test_payments_segment_004_03 PASSED [ 64%]
tests/generated/test_segment_004.py::test_payments_segment_004_04 PASSED [ 64%]
tests/generated/test_segment_004.py::test_payments_segment_004_05 PASSED [ 64%]
tests/generated/test_segment_004.py::test_payments_segment_004_06 PASSED [ 65%]
